Lorg/jboss/errai/ui/shared/api/annotations/DataField,36
Lfeign/Experimental,36
Lcom/google/gwt/i18n/client/Constants$DefaultStringValue,35
Lorg/jboss/errai/common/client/api/annotations/Element,35
Ljavax/validation/Constraint,35
Ljavax/persistence/Transient,35
Lcom/yahoo/osgi/annotation/ExportPackage,35
Lorg/joda/convert/ToString,34
Lorg/jgroups/annotations/ManagedOperation,34
Lcom/mongodb/annotations/Immutable,34
Lorg/jvnet/hk2/annotations/Scoped,33
Lcom/github/javaparser/metamodel/OptionalProperty,33
Lorg/xwiki/component/annotation/Role,33
Lorg/springframework/boot/autoconfigure/condition/ConditionalOnSingleCandidate,33
Lkotlin/annotation/MustBeDocumented,33
Lorg/jboss/errai/bus/server/annotations/Remote,33
Lcom/google/j2objc/annotations/RetainedWith,32
Lclojure/lang/WarnBoxedMath,32
Ljakarta/xml/bind/annotation/XmlAnyElement,32
Lorg/springframework/boot/actuate/endpoint/annotation/Endpoint,32
Ljavax/xml/bind/annotation/XmlElements,32
Lorg/apache/hadoop/security/KerberosInfo,32
Lorg/wildfly/common/annotation/NotNull,32
Lorg/jboss/logging/annotations/ValidIdRanges,32
Lorg/codehaus/jackson/annotate/JacksonAnnotation,32
Lorg/infinispan/jmx/annotations/MBean,31
Lorg/springframework/boot/autoconfigure/AutoConfigureBefore,31
Ljavax/xml/bind/annotation/XmlSchema,30
Lcom/fasterxml/jackson/annotation/JsonIgnoreProperties,30
Lio/vertx/core/cli/annotations/Description,30
Lzipkin/internal/Nullable,30
Lcom/facebook/drift/annotations/ThriftField,29
Ljavax/ws/rs/HttpMethod,29
Lcom/google/gwt/i18n/client/LocalizableResource$Key,29
Lorg/springframework/beans/factory/annotation/Value,29
Lorg/jboss/weld/config/Description,29
Lkotlin/coroutines/jvm/internal/DebugMetadata,28
Ljavax/annotation/meta/TypeQualifierNickname,28
Ljavax/xml/bind/annotation/XmlEnumValue,28
Lcom/gargoylesoftware/htmlunit/javascript/configuration/JsxClasses,27
Lorg/springframework/data/convert/ReadingConverter,27
Lorg/infinispan/protostream/annotations/ProtoTypeId,27
Lorg/apache/logging/log4j/core/config/plugins/validation/constraints/Required,27
Lorg/neo4j/util/VisibleForTesting,27
Lorg/skife/jdbi/v2/sqlobject/SqlUpdate,27
Ledu/umd/cs/findbugs/annotations/Nullable,27
Lfeign/RequestLine,27
Ljavax/annotation/PreDestroy,26
Lio/vertx/core/cli/annotations/Option,26
Lorg/spark_project/jetty/util/annotation/ManagedOperation,26
Lorg/assertj/core/internal/bytebuddy/build/HashCodeAndEqualsPlugin$ValueHandling,26
Lorg/kuali/rice/krad/uif/util/SessionTransient,26
Ljakarta/annotation/Priority,26
Lnet/bytebuddy/build/HashCodeAndEqualsPlugin$ValueHandling,26
Lorg/assertj/core/util/CanIgnoreReturnValue,26
Ljavax/persistence/Id,26
Lcom/google/errorprone/annotations/ForOverride,25
Lorg/springframework/security/config/web/server/ServerSecurityMarker,25
Lorg/glassfish/gmbal/impl/trace/TraceRegistration,25
Lorg/terracotta/statistics/Statistic,24
Lorg/apache/cxf/management/annotation/ManagedAttribute,24
Lcom/google/api/client/util/Key,24
Lcom/fasterxml/jackson/databind/annotation/JsonDeserialize,24
Lorg/infinispan/protostream/annotations/ProtoEnumValue,24
Ljakarta/xml/bind/annotation/XmlAnyAttribute,24
Lorg/apache/avro/specific/AvroGenerated,24
Lliquibase/datatype/DataTypeInfo,24
Lcom/mongodb/annotations/NotThreadSafe,24
Lcom/amazonaws/services/dynamodbv2/datamodeling/DynamoDB,24
Lliquibase/servicelocator/LiquibaseService,23
